"","GISJOIN","state_code","TOTALHH","TOTALPOP","BTUelec","BTUng","BTUlpg","BTUfo","BTUwood","BTUelec_scaleHH","BTUng_scaleHH","BTUlpg_scaleHH","BTUfo_scaleHH","BTUwd_scaleHH","BTUelec_scalePop","BTUng_scalePop","BTUlpg_scalePop","BTUfo_scalePop","BTUwd_scalePop"
"1","G0800010007801",8,1280,4137,20273489.2339729,29971793.9471034,0.000000295720381284425,0.0000000999999999999971,0.000000467929898413662,25950066219.4854,38363896252.2924,0.000378522088044064,0.000127999999999996,0.000598950269969487,83871424960.9461,123993311559.167,0.00122339521737367,0.000413699999999988,0.00193582598973732
"2","G0800010007802",8,1445,4664,20397173.0907544,28287882.7768852,0.00000024298290269247,0.0000000999999999999971,0.000000648442445200572,29473915116.1401,40875990612.5991,0.00035111029439062,0.000144499999999996,0.000936999333314826,95132415295.2785,131934685271.393,0.00113327225815768,0.000466399999999987,0.00302433556441547
"3","G0800010007900",8,1904,5684,23262431.3526846,42436992.1668392,0.000000270652335228065,0.0000000999999999999971,0.000000638181970289042,44291669295.5115,80800033085.6618,0.000515322046274235,0.000190399999999995,0.00121509847143034,132223659808.659,241211863476.314,0.00153838787343632,0.000568399999999984,0.00362742631912291
"4","G0800010008000",8,1774,6241,26978589.4743724,59289791.1822708,0.000000374362233084463,0.0000000999999999999971,0.000000828686308586847,47860017727.5366,105180089557.348,0.000664118601491837,0.000177399999999995,0.00147008951143307,168373376909.558,370027586768.552,0.00233639469668013,0.000624099999999982,0.00517183125189051
"5","G0800010008100",8,711,1525,19217862.8032878,22535554.3256413,0.000000887300141719071,0.0000000999999999999978,0.000000024456868312451,13663900453.1376,16022779125.531,0.00063087040076226,0.0000710999999999985,0.0000173888333701527,29307240775.0139,34366720346.603,0.00135313271612158,0.000152499999999997,0.0000372967241764878
"6","G0800010008200",8,1528,6133,33604229.4254021,75609549.9255719,0.000000486771390109283,0.0000000999999999999968,0.00000186196746204554,51347262562.0143,115531392286.274,0.000743786684086985,0.000152799999999995,0.00284508628200558,206094739065.991,463713369693.532,0.00298536893554023,0.00061329999999998,0.0114194464447253
"7","G0800010008308",8,1835,5545,24932628.8879597,46600851.7343427,0.00000164965097623827,0.0000000999999999999971,0.00000446663834166692,45751374009.4061,85512562932.5188,0.00302710954139722,0.000183499999999995,0.0081962813569588,138251427183.737,258401722866.93,0.0091473146632412,0.000554499999999984,0.0247675096045431
"8","G0800010008309",8,1083,4098,26280294.5105093,54207134.2148098,0.000000463873427440784,0.0000000999999999999971,0.000011831153524426,28461558954.8816,58706326354.6391,0.000502374921918369,0.000108299999999997,0.0128131392669533,107696646904.067,222140836012.291,0.00190095330565233,0.000409799999999988,0.0484840671430976
"9","G0800010008353",8,2578,7907,28767487.5593493,56683515.9993517,0.00000026842482436009,0.0000000999999999999971,0.00000163238268916008,74162582928.0026,146130104246.329,0.000691999197200313,0.000257799999999993,0.00420828257265469,227464524131.775,448196561006.874,0.00212243508621523,0.000790699999999977,0.0129072499231888
"10","G0800010008401",8,1647,4710,31546064.387175,55358146.7600425,0.000830308476410268,0.0000000999999999999975,0.0000571100907471014,51956368045.6772,91174867713.7901,1.36751806064771,0.000164699999999996,0.094060319460476,148581963263.594,260736871239.8,3.91075292389236,0.000470999999999988,0.268988527418848
