"","GISJOIN","state_code","TOTALHH","TOTALPOP","BTUelec","BTUng","BTUlpg","BTUfo","BTUwood"
"1","G0800010007801",8,1280,4137,24204140844.5179,36378380639.2315,0.000378522088044064,0.000127999999999996,0.000598950269969487
"2","G0800010007802",8,1445,4664,27490904519.3399,38760462069.124,0.00035111029439062,0.000144499999999996,0.000936999333314826
"3","G0800010007900",8,1904,5684,41311717388.3123,76618243880.1968,0.000515322046274235,0.000190399999999995,0.00121509847143034
"4","G0800010008000",8,1774,6241,44639986661.3285,99736515509.8669,0.000664118601491837,0.000177399999999995,0.00147008951143307
"5","G0800010008100",8,711,1525,12744590640.1919,15193523465.2312,0.00063087040076226,0.0000710999999999985,0.0000173888333701527
"6","G0800010008200",8,1528,6133,47892609002.2164,109552088680.756,0.000743786684086985,0.000152799999999995,0.00284508628200558
"7","G0800010008308",8,1835,5545,42673212892.3192,81086877707.5667,0.00302710954139722,0.000183499999999995,0.0081962813569588
"8","G0800010008309",8,1083,4098,26546659872.5375,55667992427.4479,0.000502374921918369,0.000108299999999997,0.0128131392669533
"9","G0800010008353",8,2578,7907,69172910288.5585,138567170554.421,0.000691999197200313,0.000257799999999993,0.00420828257265469
"10","G0800010008401",8,1647,4710,48460733753.4616,86456131061.6526,1.36751806064771,0.000164699999999996,0.094060319460476
"11","G0800010008402",8,1600,4894,51412386752.4528,95590101700.2085,0.304556373798713,0.000159999999999996,0.0477768398569133
"12","G0800010008505",8,2375,7271,70819989387.5284,159515445208.105,0.00126782784943632,0.000237499999999993,0.00389333462952962
"13","G0800010008506",8,2717,6914,51061719069.5325,69280338114.8477,0.00061559023724265,0.000271699999999994,0.00154688708088977
"14","G0800010008507",8,2006,6704,63485843749.6033,138713093296.832,0.000980251671253122,0.000200599999999994,0.00327554883326805
"15","G0800010008508",8,1947,5896,53247659852.2147,104732198088.835,0.00151957244140329,0.000194699999999995,0.0126450994047534
"16","G0800010008523",8,2860,8345,86598459479.1032,170576427504.066,0.0561336689323344,0.000285999999999993,0.0126305275938239
"17","G0800010008524",8,2563,8378,84095236444.2962,192136840476.111,0.000706326511793613,0.000256299999999993,0.00298635221176185
"18","G0800010008526",8,2536,6978,69053119918.5909,152409395240.824,0.0006407736238266,0.000253599999999994,0.00115166052395557
"19","G0800010008529",8,3254,7235,68399051952.447,119329892399.553,0.000905686130219799,0.000325399999999993,0.00150426326580182
"20","G0800010008533",8,2957,8186,66760194411.7799,120892797155.254,0.00109083989853931,0.000295699999999992,0.0029026145366944
"21","G0800010008534",8,1353,5058,44056304523.4665,77697503083.9872,0.00025968530707145,0.000135299999999997,0.0161821267414973
"22","G0800010008535",8,1144,3677,32614659355.6978,68765206355.2018,0.000547357955671644,0.000114399999999997,0.00163124475963156
"23","G0800010008537",8,1881,6842,62070294461.6615,133468015449.774,0.000571675540052547,0.000188099999999995,0.00315912972302228
"24","G0800010008538",8,2255,7586,77230657496.5767,163378973924.818,0.000531616280661715,0.000225499999999994,0.00155716545319307
"25","G0800010008539",8,3044,10670,99805584130.7563,196323964118.927,0.00103279147363163,0.000304399999999992,0.00356270764243115
"26","G0800010008540",8,2480,8039,86722396383.5289,182796221902.481,0.000919828212685849,0.000247999999999993,0.00293625729320191
"27","G0800010008542",8,2709,9069,88522305915.5635,187738493485.347,0.000669409909869673,0.000270899999999993,0.00329336095816459
"28","G0800010008543",8,2823,9171,78489034015.5256,176230665064.093,0.0013111778382122,0.000282299999999993,0.00563901522344253
"29","G0800010008545",8,2244,7218,72699714630.8058,166032882297.832,0.000610022199216696,0.000224399999999994,0.00618530246512124
"30","G0800010008546",8,1260,3662,33272695495.1906,65390163090.4207,0.000274821150330551,0.000125999999999997,0.00473300505866011
"31","G0800010008547",8,1143,3842,30844876110.1689,72043051796.7837,0.00027661627940891,0.000114299999999997,0.00382795617818303
"32","G0800010008548",8,584,1630,17116431122.6611,34521034877.7709,0.000267176264159366,0.0000583999999999985,0.000545477113543606
"33","G0800010008549",8,1297,4258,37318211144.9153,91224549209.2896,0.000696567814816354,0.000129699999999997,0.00113539332937854
"34","G0800010008550",8,2676,8360,80918109631.2611,180740577438.905,0.000481716043152948,0.000267599999999993,0.0109498023688587
"35","G0800010008603",8,770,1999,17110330708.5411,35772929912.9827,0.000120512075254133,0.0000769999999999983,0.000416304247149155
"36","G0800010008604",8,1144,5304,31802993875.8355,75423086401.5439,0.000408194136347841,0.000114399999999997,0.00240627265831241
"37","G0800010008605",8,1444,4194,37033325389.1067,77109539394.0801,0.000472927227715884,0.000144399999999996,0.00282305517081447
"38","G0800010008606",8,2461,6454,50434298165.4308,101814696950.341,0.0011622373254067,0.000246099999999995,0.00222461421659445
"39","G0800010008705",8,1451,5547,36785107223.6191,85606911890.7801,0.00121900917937642,0.000145099999999996,0.00187636808940532
"40","G0800010008706",8,1588,5835,40366064476.1577,90456521700.7612,0.00106248492728641,0.000158799999999996,0.00208775632006985
"41","G0800010008709",8,2533,7994,56793269430.8647,118309597637.534,0.0015285999983399,0.000253299999999994,0.00330227308737971
"42","G0800010008801",8,1509,5274,36792214352.6958,91135505198.1255,0.00118919087027745,0.000150899999999996,0.00186428257198123
"43","G0800010008802",8,1172,5170,30424082184.488,72930614675.0962,0.000433954406128407,0.000117199999999997,0.00354276273803833
"44","G0800010008901",8,730,2664,19416217336.3194,47166670083.963,0.000654129485465903,0.0000729999999999982,0.000792334467357757
"45","G0800010009001",8,1477,4535,36829768025.9001,69525711112.8303,0.000562079128721584,0.000147699999999996,0.00159483512627674
"46","G0800010009002",8,3246,10217,76910355353.5618,159097036281.315,0.000676314566632161,0.000324599999999992,0.00800765883076003
"47","G0800010009101",8,1397,4766,40404576155.4233,95453385708.3461,0.00172996623329174,0.000139699999999996,0.00172065385293958
"48","G0800010009103",8,1117,4268,29731722372.9733,68742799393.237,0.000742788369742796,0.000111699999999997,0.00161266294105298
"49","G0800010009104",8,1883,5966,47774168126.4368,107525991528.48,0.000648348443736669,0.000188299999999995,0.00591260405696662
"50","G0800010009203",8,1721,4488,28148159750.6046,40225026228.9597,0.000592045403599935,0.000172099999999996,0.000992394922975991
"51","G0800010009204",8,2632,7518,64407053452.7488,115617824662.308,0.00134668669464501,0.000263199999999993,0.00336741477529798
"52","G0800010009206",8,808,2257,18790796956.3797,38950681971.4257,0.000173928002089302,0.000080799999999998,0.00137918159648301
"53","G0800010009207",8,1559,4807,37657347941.1942,70129646146.3203,0.000287340536454705,0.000155899999999996,0.00480898978285988
"54","G0800010009304",8,2152,5846,48976458797.8893,100240873284.109,0.00122601762964413,0.000215199999999995,0.00324097371144682
"55","G0800010009306",8,1246,3561,34579035047.787,85242608225.8363,0.000406220654769083,0.000124599999999997,0.00136510904371598
"56","G0800010009307",8,1209,3944,27587626460.8052,59676338992.1582,0.00030746539477573,0.000120899999999997,0.00188042975651923
"57","G0800010009308",8,1363,4606,32691612319.6839,73803344787.4091,0.000490672052570643,0.000136299999999997,0.00174694875208947
"58","G0800010009309",8,1620,3989,35140063856.7465,71701022780.0238,0.000787894913471513,0.000161999999999997,0.000554490846931612
"59","G0800010009310",8,1921,5652,47054343538.8048,101682801241.083,0.001093285488186,0.000192099999999995,0.00106167603320112
"60","G0800010009316",8,2208,7291,56004593784.8507,130961873013.541,0.00140209410222814,0.000220799999999994,0.00675457345212381
"61","G0800010009318",8,2255,6562,43987654292.2822,79971657384.7194,0.000945532292633108,0.000225499999999994,0.00194223462584682
"62","G0800010009320",8,1053,2834,17758632360.8077,31812758490.5201,0.000513352005432286,0.000105299999999997,0.00383682708051452
"63","G0800010009321",8,1278,3846,27406650944.6839,55921913976.1278,0.000540987420055474,0.000127799999999997,0.00265337302722035
"64","G0800010009322",8,1616,4642,39611328698.9641,86500550664.7558,0.000714073985837817,0.000161599999999996,0.00526364134876028
"65","G0800010009323",8,1459,4004,30394873624.7018,56107374233.3188,0.000522362190596003,0.000145899999999996,0.00105262722751932
"66","G0800010009325",8,2381,5200,52963538517.8893,88738438271.8164,0.00063557980077622,0.000238099999999995,0.00235679210957555
"67","G0800010009326",8,1152,2721,30466385913.4074,63503888257.9106,0.000342122115493558,0.000115199999999998,0.000987128459125844
"68","G0800010009327",8,1518,4228,40457333131.7033,87037403932.7387,0.000544908057416096,0.000151799999999996,0.00126728394795417
"69","G0800010009401",8,1771,5249,49294122104.0233,108189115927.817,0.000981453954403387,0.000177099999999996,0.00279413885209253
"70","G0800010009406",8,1741,4541,43747280052.4808,86318703621.124,0.000529829061647881,0.000174099999999996,0.00295087860013702
"71","G0800010009407",8,1765,5082,44770045574.0179,91007307642.152,0.000589184128983196,0.000176499999999996,0.00438680761162
"72","G0800010009408",8,1778,4823,51950236471.9293,100368807744.585,0.000741688439362893,0.000177799999999995,0.00132105762674423
"73","G0800010009409",8,2263,5603,67662258635.2442,129632859223.487,0.000306466663613709,0.000226299999999994,0.00203614097137412
"74","G0800010009410",8,1183,3057,41299184020.0393,79275116332.5462,0.000103414775509115,0.000118299999999997,0.00303956918329809
"75","G0800010009411",8,1265,3054,31285814797.7036,67674849003.5928,0.000246377132712439,0.000126499999999997,0.00450177699091564
"76","G0800010009501",8,1176,3247,27734073506.76,63674769342.6507,0.000850646868333245,0.000117599999999997,0.000338139702156573
"77","G0800010009502",8,1518,4809,43169003077.8973,98992791077.4794,0.00132293479038627,0.000151799999999996,0.000582210579555155
"78","G0800010009553",8,1184,3728,29960509833.1589,61922740216.9734,0.000482007006856542,0.000118399999999997,0.000836511831261558
"79","G0800010009603",8,2283,6645,52424833750.0845,85496603617.4948,0.0013556697289356,0.000228299999999994,0.00164494322477404
"80","G0800010009604",8,1891,4452,39932432110.3397,73179429681.5839,0.000812914788470104,0.000189099999999996,0.00103318511628501
"81","G0800010009606",8,1078,2627,22669197782.6398,41557021838.3634,0.000839760274868769,0.000107799999999998,0.000504686829912409
"82","G0800010009607",8,1831,5097,41072690498.3447,69566798009.2827,0.000734828409007319,0.000183099999999995,0.00162061878430347
"83","G0800010009608",8,1340,3198,34600144636.8006,77985421647.8307,0.000512799148996848,0.000133999999999997,0.00199927389961304
"84","G0800010009751",8,1324,3807,31357267838.5197,62773231746.9104,0.000700724498401982,0.000132399999999997,0.00375162799396444
"85","G0800010009752",8,1034,3468,25518853718.4229,53891434294.2544,0.000318492565893004,0.000103399999999997,0.00128461074956278
"86","G0800010015000",8,1173,2996,30013207482.308,71622509943.1768,0.000766924993296258,0.000117299999999997,0.00574557956302353
"87","G0800010060000",8,1900,5484,60313042149.6966,109223378619.967,0.000486023547565613,0.000189999999999995,0.00100343359272449
"88","G0800010060100",8,2415,7809,71297066542.9246,167827459730.911,0.0010616274450091,0.000241499999999994,0.00516695945336021
"89","G0800010060200",8,1767,4204,33874964946.1118,57903170569.0895,0.000334269859949589,0.000176699999999996,0.00134558412080714
"90","G0800030960000",8,674,1807,19093242957.3157,27544590074.7232,9407950.01258127,0.0000673999999999983,1706.65510489132
"91","G0800030960100",8,846,2493,25703450571.6001,40388919730.7234,11668.8635024852,0.0000845999999999979,447.439122363117
"92","G0800030960200",8,2653,6476,60794626895.2754,107364068116.348,0.00504515835887353,0.000265299999999994,0.0157757076557396
"93","G0800030960300",8,1980,5668,47404137320.6194,85968665694.2726,0.0334860593258757,0.000197999999999996,0.0249663354594087
"94","G0800050004951",8,1368,2273,20885137153.3089,30398532292.1566,0.000376244501153629,0.000136799999999997,0.000228493872088789
"95","G0800050004952",8,1646,2897,25101240590.7392,37384132032.0201,0.000558634383386878,0.000164599999999996,0.000287994089171412
"96","G0800050005551",8,1117,2943,24880965832.5861,51148228248.4487,0.000966244999201511,0.000111699999999998,0.00150843417108307
"97","G0800050005552",8,1285,2803,30112745543.5166,51218376429.552,0.0159527623755452,0.000128499999999997,0.0012034272557138
"98","G0800050005553",8,1550,4098,37546043008.1625,72444021685.4448,0.000802612955289454,0.000154999999999997,0.00153543113691236
"99","G0800050005611",8,1926,5451,61057581403.4956,134207312142.466,0.000821878257004746,0.000192599999999994,0.00123412036864338
"100","G0800050005612",8,1522,3840,41653903109.5219,80084788243.9444,0.000954488670688987,0.000152199999999996,0.00130747616176835
"101","G0800050005614",8,1297,3190,38920223041.706,95467585392.4058,0.000425051394845894,0.000129699999999997,0.000813078868081662
"102","G0800050005619",8,1826,4833,55532979761.7779,116264020894.269,0.000582961219571332,0.000182599999999995,0.00224337873521553
"103","G0800050005620",8,1692,3022,28964734985.1393,46888872588.2188,0.000426008099488164,0.000169199999999996,0.000681514943709212
"104","G0800050005622",8,1045,2572,31767879202.8212,57777566446.5886,0.000226378336352192,0.000104499999999997,0.000374799430376827
"105","G0800050005623",8,1699,4424,51771292584.6616,100147338415.705,0.000466164652684779,0.000169899999999996,0.00160188212642682
"106","G0800050005624",8,869,2804,32702875871.5018,71045997612.3593,0.000263687529890936,0.0000868999999999975,0.00214588103044493
"107","G0800050005625",8,1250,3204,33595077240.1563,65693726701.026,0.000414836914321612,0.000124999999999997,0.00218263380308112
"108","G0800050005626",8,1653,3928,40441430011.421,68060755407.8271,0.000215148412948244,0.000165299999999996,0.0027282316127501
"109","G0800050005627",8,1828,4733,58937689341.6238,115738780874.105,0.000597564948287276,0.000182799999999995,0.00670889774893449
"110","G0800050005628",8,2273,5820,65179913047.1054,120199958009.14,0.000411270699876779,0.000227299999999995,0.00452595814492065
"111","G0800050005629",8,836,2538,30933124885.4149,65834293115.199,0.00017800195760373,0.0000835999999999973,0.00130575914347498
"112","G0800050005630",8,2233,6009,64391352070.5869,127213249670.166,0.000397116531187212,0.000223299999999994,0.0213454715893695
"113","G0800050005631",8,1247,3462,40035977843.6967,84626065506.4298,0.000278693959043781,0.000124699999999996,0.00580220338332642
"114","G0800050005632",8,1257,3355,36901800650.6763,74672849046.9424,0.000172048630698859,0.000125699999999996,0.00775534305681732
"115","G0800050005633",8,1330,3070,37214115682.2139,76874472461.661,0.000256892979616866,0.000132999999999997,0.00199407366666682
"116","G0800050005634",8,1627,3173,36597904967.5305,75521199327.4861,0.000510296067354571,0.000162699999999996,0.00288083567115259
"117","G0800050005635",8,1988,4938,58615374608.9756,96611015020.1014,0.000281780352643174,0.000198799999999995,0.00815388984661954
"118","G0800050005700",8,1822,3888,38473692362.167,59648407327.4282,0.00146098236864725,0.000182199999999996,0.000818400493571412
"119","G0800050005800",8,1225,2755,34633538036.0658,75828832012.9279,0.0010326316776704,0.000122499999999997,0.000826935508385425
"120","G0800050005951",8,2544,4627,47603193086.0689,73490135304.5859,0.000471698179001381,0.000254399999999994,0.000569203201632497
"121","G0800050005952",8,1682,3582,33670331259.3651,52305969189.1679,0.000571345583410637,0.000168199999999996,0.000463145625586235
"122","G0800050006000",8,1395,2647,31310363461.5346,57595798803.1186,0.000338917134251906,0.000139499999999997,0.000486418433927171
"123","G0800050006100",8,1598,3184,35554775387.2831,59476459901.4648,0.000435494599939876,0.000159799999999997,0.000332391172454988
"124","G0800050006200",8,1332,3379,36473554566.5646,73047748372.5126,0.00066404997737374,0.000133199999999997,0.000750348115633131
"125","G0800050006300",8,1141,2522,33389310155.8091,73131983919.6227,0.000414848105515915,0.000114099999999998,0.000699762793091801
"126","G0800050006400",8,1266,3379,30144344156.7363,60694640534.7985,0.000796810186548582,0.000126599999999997,0.00119732730241167
"127","G0800050006501",8,1245,2317,21551102440.1203,26122752159.8771,0.000644217394709751,0.000124499999999997,0.000123385128845216
"128","G0800050006502",8,1459,3582,37465904347.7936,71601093668.3742,0.000852752302796114,0.000145899999999997,0.000942867493507033
"129","G0800050006601",8,2544,5669,46137513643.2762,74217840921.664,0.00132792846160352,0.000254399999999994,0.00107520977350302
"130","G0800050006603",8,1413,3321,39995133018.3713,72662661187.2909,0.000671376412465603,0.000141299999999996,0.001107942670211
"131","G0800050006604",8,1919,4539,41048970967.97,71937780364.8751,0.00124460297710834,0.000191899999999996,0.000690115778644526
"132","G0800050006704",8,1520,4566,59781938882.8667,125197991114.455,0.000498306810131284,0.000151999999999995,0.000773878890837717
"133","G0800050006705",8,639,2034,25391062616.49,54080289796.8135,0.000165428834007072,0.0000638999999999979,0.000486885603176713
"134","G0800050006706",8,2031,5051,54958403893.9613,99395231340.5774,0.000342634467644159,0.000203099999999995,0.011032199511547
"135","G0800050006707",8,1876,5167,55668571518.422,102347282490.246,0.00050634361088156,0.000187599999999995,0.00545044968743815
"136","G0800050006708",8,1985,5151,57720447931.0506,108592201127.461,0.000414119100534006,0.000198499999999995,0.0119814898107267
"137","G0800050006712",8,579,1390,19019791175.5421,33415301797.1929,0.000129224868053299,0.0000578999999999983,0.000161939368284255
"138","G0800050006713",8,869,1629,14922018030.3976,19808839958.4163,0.0004664033411842,0.0000868999999999981,0.0000301321050543829
"139","G0800050006808",8,1888,5903,70864321317.9464,141368287035.444,0.000523218764397945,0.000188799999999994,0.00631284935346025
"140","G0800050006815",8,1818,4723,40281214958.7208,61478811641.1626,0.000465734228154626,0.000181799999999996,0.00227900993950958
"141","G0800050006854",8,1238,2994,28046618488.4502,46676559807.5929,0.000598922790367629,0.000123799999999997,0.000576331692122257
"142","G0800050006856",8,3414,9070,69301310676.1204,102761305608.257,0.00107369789729112,0.000341399999999993,0.000307182444453881
"143","G0800050006857",8,915,2303,30872157828.6622,60376080699.6647,0.000233895630683155,0.0000914999999999977,0.000895707249517524
"144","G0800050006858",8,2658,4961,48549227722.8773,69507580066.9232,0.000819165593283569,0.000265799999999994,0.00025696056780454
"145","G0800050007101",8,1861,5231,58597986614.0143,98839435135.138,0.0917430180654426,0.000186099999999995,0.0286562472953142
"146","G0800050007103",8,585,1652,19552144753.1953,35334838426.4837,2.28244772912023,0.0000584999999999983,0.0485392446386968
"147","G0800050007105",8,1998,6605,62607652087.0044,130164359890.49,0.000470543811241909,0.000199799999999995,0.00104033670301784
"148","G0800050007201",8,1271,4101,28467698950.9773,51060059982.5292,0.000447477518268401,0.000127099999999996,0.00127282487959291
"149","G0800050007202",8,1353,4074,27348607479.0547,61136185056.8678,0.000524543540864194,0.000135299999999996,0.000461329008891137
